taxon,lfc_(Intercept),lfc_GroupPLE,se_(Intercept),se_GroupPLE,W_(Intercept),W_GroupPLE,p_(Intercept),p_GroupPLE,q_(Intercept),q_GroupPLE,diff_(Intercept),diff_GroupPLE,passed_ss_(Intercept),passed_ss_GroupPLE
 o__Erysipelotrichales,-0.01373875,0.885175602,NA,0.537649066,NA,1.646381735,1,0.105093791,1,1,FALSE,FALSE,TRUE,TRUE
 o__Lactobacillales,0.616771202,-0.060847911,NA,0.319868503,NA,-0.190227893,1,0.849783562,1,1,FALSE,FALSE,FALSE,TRUE
 o__Other_3,0.672945184,-0.205077767,NA,0.258813984,NA,-0.792375144,1,0.432209584,1,1,FALSE,FALSE,FALSE,TRUE
 o__Staphylococcales,0.811672372,-0.364921482,NA,0.57824281,NA,-0.631086935,1,0.530462897,1,1,FALSE,FALSE,TRUE,TRUE
 o__Acetivibrionales,0.523677054,0.111756561,NA,0.242904097,NA,0.46008512,1,0.64866599,1,1,FALSE,FALSE,FALSE,TRUE
 o__Clostridiales,0.631871734,-0.05165801,NA,0.447533456,NA,-0.115428265,1,0.908526079,1,1,FALSE,FALSE,FALSE,TRUE
 o__Other_5,0.603189072,-0.048918121,NA,0.169982501,NA,-0.287783276,1,0.776628197,1,1,FALSE,FALSE,FALSE,FALSE
 o__Other_6,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,FALSE,TRUE
 o__Acidaminococcales,0.531283047,0.066341783,NA,0.176279697,NA,0.376343871,1,0.70801127,1,1,FALSE,FALSE,FALSE,TRUE
 o__Fusobacteriales,-0.319517046,1.285920609,NA,0.652190018,NA,1.971696246,1,0.05377643,1,1,FALSE,FALSE,TRUE,FALSE
 o__Burkholderiales,0.666426171,-0.172827354,NA,0.587755274,NA,-0.294046454,1,0.769892962,1,1,FALSE,FALSE,TRUE,TRUE
