taxon,median,range
Actinobacteria,15.4012345679012,1.92592592592593-85.4197530864198
Bacteroidetes,8.32469135802469,2.15802469135802-28.0345679012346
Deferribacteres,0.0283950617283951,0-0.84320987654321
Firmicutes,54.2185185185185,9.81604938271605-88.9555555555555
Fusobacteria,0.00123456790123457,0-0.00740740740740741
Proteobacteria,0.208641975308642,0.0160493827160494-1.98271604938272
